x,y,z,xdot,ydot,zdot,TOF,JC
1.0441782153052852,0.0,0.0,0.0,-1.1081678908006851,0.0,-1.0435506592094794,2.1640330491580624
1.0441382153052852,0.0,0.0,0.0,-1.108283660374487,0.0,-1.0433980891076964,2.1640703194024082
1.0440982153052851,0.0,0.0,0.0,-1.1083996407158687,0.0,-1.0432454440538375,2.164107540201613
1.044058215305285,0.0,0.0,0.0,-1.1085158322355277,0.0,-1.0430927239436019,2.1641447114299566
1.044018215305285,0.0,0.0,0.0,-1.1086322353452296,0.0,-1.0429399286724887,2.1641818329613525
1.043978215305285,0.0,0.0,0.0,-1.1087488504578062,0.0,-1.0427870581358045,2.164218904669359
1.043938215305285,0.0,0.0,0.0,-1.1088656779871668,0.0,-1.0426341122286542,2.1642559264271624
1.043898215305285,0.0,0.0,0.0,-1.1089827183482952,0.0,-1.0424810908459496,2.164292898107586
1.0438582153052849,0.0,0.0,0.0,-1.109099971957257,0.0,-1.0423279938823988,2.164329819583089
1.0438182153052848,0.0,0.0,0.0,-1.109217439231203,0.0,-1.0421748212325115,2.1643666907257515
1.0437782153052848,0.0,0.0,0.0,-1.1093351205883695,0.0,-1.0420215727906008,2.164403511407296
1.0437382153052848,0.0,0.0,0.0,-1.1094530164480862,0.0,-1.0418682484507773,2.1644402814990658
1.0436982153052847,0.0,0.0,0.0,-1.109571127230775,0.0,-1.0417148481069523,2.1644770008720373
1.0436582153052847,0.0,0.0,0.0,-1.1096894533579587,0.0,-1.0415613716528327,2.1645136693968086
1.0436182153052846,0.0,0.0,0.0,-1.1098079952522621,0.0,-1.0414078189819291,2.164550286943604
1.0435782153052846,0.0,0.0,0.0,-1.109926753337414,0.0,-1.041254189987547,2.1645868533822736
1.0435382153052846,0.0,0.0,0.0,-1.1100457280382519,0.0,-1.0411004845627876,2.164623368582291
1.0434982153052845,0.0,0.0,0.0,-1.1101649197807308,0.0,-1.0409467026005537,2.1646598324127435
1.0434582153052845,0.0,0.0,0.0,-1.1102843289919158,0.0,-1.0407928439935397,2.16469624474235
1.0434182153052844,0.0,0.0,0.0,-1.110403956099999,0.0,-1.040638908634237,2.1647326054394336
1.0433782153052844,0.0,0.0,0.0,-1.1105238015342915,0.0,-1.0404848964149367,2.1647689143719466
1.0433382153052844,0.0,0.0,0.0,-1.110643865725234,0.0,-1.0403308072277162,2.164805171407451
1.0432982153052843,0.0,0.0,0.0,-1.110764149104396,0.0,-1.0401766409644584,2.164841376413132
1.0432582153052843,0.0,0.0,0.0,-1.1108846521044917,0.0,-1.0400223975168272,2.1648775292557625
1.0432182153052842,0.0,0.0,0.0,-1.1110053751593607,0.0,-1.0398680767762902,2.164913629801763
1.0431782153052842,0.0,0.0,0.0,-1.1111263187039937,0.0,-1.0397136786341028,2.1649496779171393
