x,y,z,xdot,ydot,zdot,TOF,JC
1.0339472370507579,0.0,0.0005700000000000002,0.0,-1.1459968674920606,0.0,-1.0017845931210483,2.1714995122191283
1.0339469854112806,0.0,0.0005900000000000002,0.0,-1.1459977871104348,0.0,-1.0017853643422963,2.1714973183876607
1.0339467250931345,0.0,0.0006100000000000003,0.0,-1.1459987384462216,0.0,-1.0017861621615949,2.1714950488902582
1.0339464560961724,0.0,0.0006300000000000004,0.0,-1.145999721500079,0.0,-1.0017869865793725,2.1714927037252285
1.0339461784202424,0.0,0.0006500000000000004,0.0,-1.1460007362726814,0.0,-1.0017878375960723,2.171490282890835
1.0339458920651878,0.0,0.0006700000000000005,0.0,-1.1460017827647293,0.0,-1.0017887152121512,2.17148778638527
1.0339455970308467,0.0,0.0006900000000000005,0.0,-1.146002860976942,0.0,-1.0017896194280795,2.1714852142066863
1.0339452933170525,0.0,0.0007100000000000006,0.0,-1.1460039709100607,0.0,-1.0017905502443463,2.171482566353168
1.0339449809236336,0.0,0.0007300000000000006,0.0,-1.1460051125648505,0.0,-1.0017915076614479,2.171479842822751
1.0339446598504136,0.0,0.0007500000000000007,0.0,-1.146006285942096,0.0,-1.001792491679903,2.17147704361341
1.033944330097211,0.0,0.0007700000000000007,0.0,-1.146007491042606,0.0,-1.0017935023002367,2.171474168723064
1.0339439916638398,0.0,0.0007900000000000008,0.0,-1.1460087278672102,0.0,-1.001794539522993,2.171471218149575
1.0339436445501085,0.0,0.0008100000000000008,0.0,-1.1460099964167578,0.0,-1.0017956033487316,2.1714681918907557
1.033943288755821,0.0,0.0008300000000000009,0.0,-1.1460112966921268,0.0,-1.0017966937780214,2.1714650899443457
1.0339429242807767,0.0,0.0008500000000000009,0.0,-1.146012628694208,0.0,-1.0017978108114483,2.171461912308047
1.033942551124769,0.0,0.000870000000000001,0.0,-1.1460139924239219,0.0,-1.0017989544496146,2.171458658979497
1.0339421692875879,0.0,0.000890000000000001,0.0,-1.1460153878822048,0.0,-1.0018001246931354,2.1714553299562738
1.0339417787690168,0.0,0.0009100000000000011,0.0,-1.1460168150700185,0.0,-1.001801321542637,2.1714519252359086
1.0339413795688355,0.0,0.0009300000000000011,0.0,-1.1460182739883447,0.0,-1.0018025449987653,2.1714484448158684
1.0339409716868184,0.0,0.0009500000000000012,0.0,-1.1460197646381898,0.0,-1.0018037950621768,2.1714448886935607
1.033940555122735,0.0,0.0009700000000000012,0.0,-1.1460212870205801,0.0,-1.0018050717335427,2.171441256866345
1.0339401298763498,0.0,0.0009900000000000013,0.0,-1.1460228411365623,0.0,-1.001806375013552,2.1714375493315234
1.0339396959474225,0.0,0.0010100000000000013,0.0,-1.1460244269872117,0.0,-1.0018077049029008,2.1714337660863277
1.033939253335708,0.0,0.0010300000000000014,0.0,-1.1460260445736137,0.0,-1.0018090614023092,2.171429907127961
1.033938802040956,0.0,0.0010500000000000015,0.0,-1.1460276938968863,0.0,-1.0018104445125036,2.1714259724535445
1.0339383420629114,0.0,0.0010700000000000015,0.0,-1.146029374958167,0.0,-1.0018118542342274,2.1714219620601494
1.0339378734013143,0.0,0.0010900000000000016,0.0,-1.14603108775861,0.0,-1.0018132905682402,2.1714178759447997
1.0339373960558997,0.0,0.0011100000000000016,0.0,-1.1460328322993976,0.0,-1.0018147535153146,2.1714137141044545
